,start,end,name,save_name
0,0:00:00.000,0:00:10.120,Break0,000.mp4
1,0:00:10.120,0:00:10.550,United States,001.mp4
2,0:00:10.550,0:00:11.000,Canada,002.mp4
3,0:00:11.000,0:00:11.400,Mexico,003.mp4
4,0:00:11.400,0:00:11.950,Panama,004.mp4
5,0:00:11.950,0:00:12.350,Haiti,005.mp4
6,0:00:12.350,0:00:12.750,Jamaica,006.mp4
7,0:00:12.750,0:00:13.600,Peru,007.mp4
8,0:00:13.600,0:00:14.500,Dominican Rep.,008.mp4
9,0:00:14.500,0:00:15.550,Cuba,009.mp4
10,0:00:15.550,0:00:16.050,Greenland,010.mp4
11,0:00:16.050,0:00:17.100,El Salvador,011.mp4
12,0:00:17.100,0:00:17.800,Puerto Rico,012.mp4
13,0:00:17.800,0:00:18.350,Colombia,013.mp4
14,0:00:18.350,0:00:19.200,Venezuela,014.mp4
15,0:00:19.200,0:00:19.600,Honduras,015.mp4
16,0:00:19.600,0:00:21.000,Guyana,016.mp4
17,0:00:21.000,0:00:21.550,Guatemala,017.mp4
18,0:00:21.550,0:00:22.150,Bolivia,018.mp4
19,0:00:22.150,0:00:23.000,Argentina,019.mp4
20,0:00:23.000,0:00:23.450,Ecuador,020.mp4
21,0:00:23.450,0:00:23.850,Chile,021.mp4
22,0:00:23.850,0:00:24.400,Brazil,022.mp4
23,0:00:24.400,0:00:25.100,Costa Rica,023.mp4
24,0:00:25.100,0:00:25.500,Belize,024.mp4
25,0:00:25.500,0:00:26.100,Nicaragua,025.mp4
26,0:00:26.100,0:00:26.600,Bermuda,026.mp4
27,0:00:26.600,0:00:27.100,Bahamas,027.mp4
28,0:00:27.100,0:00:27.550,Tobago,028.mp4
29,0:00:27.550,0:00:28.650,San Juan,029.mp4
30,0:00:28.650,0:00:29.100,Paraguay,030.mp4
31,0:00:29.100,0:00:29.550,Uruguay,031.mp4
32,0:00:29.550,0:00:30.200,Suriname,032.mp4
33,0:00:30.200,0:00:30.800,French Guiana,033.mp4
34,0:00:30.800,0:00:31.350,Barbados,034.mp4
35,0:00:31.350,0:00:32.000,Guam,035.mp4
36,0:00:32.000,0:00:34.800,Break1,036.mp4
37,0:00:34.800,0:00:35.300,Norway,037.mp4
38,0:00:35.300,0:00:35.750,Sweden,038.mp4
39,0:00:35.750,0:00:36.200,Iceland,039.mp4
40,0:00:36.200,0:00:36.600,Finland,040.mp4
41,0:00:36.600,0:00:38.300,Germany,041.mp4
42,0:00:38.300,0:00:38.800,Switzerland,042.mp4
43,0:00:38.800,0:00:39.300,Austria,043.mp4
44,0:00:39.300,0:00:40.200,Czech Rep.,044.mp4
45,0:00:40.200,0:00:40.650,Italy,045.mp4
46,0:00:40.650,0:00:41.100,Turkey,046.mp4
47,0:00:41.100,0:00:42.100,Greece,047.mp4
48,0:00:42.100,0:00:42.450,Poland,048.mp4
49,0:00:42.450,0:00:42.800,Romania,049.mp4
50,0:00:42.800,0:00:43.250,Scotland,050.mp4
51,0:00:43.250,0:00:43.750,Albania,051.mp4
52,0:00:43.750,0:00:44.250,Ireland,052.mp4
53,0:00:44.250,0:00:44.550,Russia,053.mp4
54,0:00:44.550,0:00:45.400,Oman,054.mp4
55,0:00:45.400,0:00:45.850,Bulgaria,055.mp4
56,0:00:45.850,0:00:46.800,Saudi Arabia,056.mp4
57,0:00:46.800,0:00:47.200,Hungary,057.mp4
58,0:00:47.200,0:00:47.600,Cyprus,058.mp4
59,0:00:47.600,0:00:48.100,Iraq,059.mp4
60,0:00:48.100,0:00:49.100,Iran,060.mp4
61,0:00:49.100,0:00:49.550,Syria,061.mp4
62,0:00:49.550,0:00:50.000,Lebanon,062.mp4
63,0:00:50.000,0:00:50.450,Israel,063.mp4
64,0:00:50.450,0:00:50.750,Jordan,064.mp4
65,0:00:50.750,0:00:51.250,Yemen,065.mp4
66,0:00:51.250,0:00:51.650,Kuwait,066.mp4
67,0:00:51.650,0:00:52.550,Bahrain,067.mp4
68,0:00:52.550,0:00:52.900,Netherlands,068.mp4
69,0:00:52.900,0:00:53.500,Luxembourg,069.mp4
70,0:00:53.500,0:00:53.950,Belgium,070.mp4
71,0:00:53.950,0:00:54.450,Portugal,071.mp4
72,0:00:54.450,0:00:54.600,France,072.mp4
73,0:00:54.600,0:00:54.800,England,073.mp4
74,0:00:54.800,0:00:55.400,Denmark,074.mp4
75,0:00:55.400,0:00:56.000,Spain,075.mp4
76,0:00:56.000,0:00:58.810,Break2,076.mp4
77,0:00:58.810,0:00:59.250,India,077.mp4
78,0:00:59.250,0:00:59.650,Pakistan,078.mp4
79,0:00:59.650,0:01:00.000,Myanmar,079.mp4
80,0:01:00.000,0:01:00.500,Afghanistan,080.mp4
81,0:01:00.500,0:01:00.900,Thailand,081.mp4
82,0:01:00.900,0:01:01.300,Nepal,082.mp4
83,0:01:01.300,0:01:01.800,Bhutan,083.mp4
84,0:01:01.800,0:01:02.600,Cambodia,084.mp4
85,0:01:02.600,0:01:03.200,Malaysia,085.mp4
86,0:01:03.200,0:01:04.150,Bangladesh,086.mp4
87,0:01:04.150,0:01:04.500,China,087.mp4
88,0:01:04.500,0:01:05.000,Korea,088.mp4
89,0:01:05.000,0:01:06.000,Japan,089.mp4
90,0:01:06.000,0:01:06.310,Mongolia,090.mp4
91,0:01:06.310,0:01:06.650,Lao PDR,091.mp4
92,0:01:06.650,0:01:07.200,Tibet,092.mp4
93,0:01:07.200,0:01:07.800,Indonesia,093.mp4
94,0:01:07.800,0:01:08.500,Philippines,094.mp4
95,0:01:08.500,0:01:09.400,Taiwan,095.mp4
96,0:01:09.400,0:01:09.900,Sri Lanka,096.mp4
97,0:01:09.900,0:01:10.300,Papua New Guinea,097.mp4
98,0:01:10.300,0:01:10.700,Sumatra,098.mp4
99,0:01:10.700,0:01:11.200,New Zealand,099.mp4
100,0:01:11.200,0:01:11.800,Brunei,100.mp4
101,0:01:11.800,0:01:12.800,Vietnam,101.mp4
102,0:01:12.800,0:01:13.300,Tunisia,102.mp4
103,0:01:13.300,0:01:13.800,Morocco,103.mp4
104,0:01:13.800,0:01:14.200,Uganda,104.mp4
105,0:01:14.200,0:01:14.600,Angola,105.mp4
106,0:01:14.600,0:01:15.000,Zimbabwe,106.mp4
107,0:01:15.000,0:01:15.500,Djibouti,107.mp4
108,0:01:15.500,0:01:16.500,Botswana,108.mp4
109,0:01:16.500,0:01:17.000,Mozambique,109.mp4
110,0:01:17.000,0:01:17.500,Zambia,110.mp4
111,0:01:17.500,0:01:18.000,Swaziland,111.mp4
112,0:01:18.000,0:01:18.500,Gambia,112.mp4
113,0:01:18.500,0:01:18.900,Guinea,113.mp4
114,0:01:18.900,0:01:19.300,Algeria,114.mp4
115,0:01:19.300,0:00:20.000,Ghana,115.mp4
116,0:00:20.000,0:01:22.200,Break3,116.mp4
117,0:01:22.200,0:01:22.600,Burundi,117.mp4
118,0:01:22.600,0:01:23.000,Lesotho,118.mp4
119,0:01:23.000,0:01:23.400,Malawi,119.mp4
120,0:01:23.400,0:01:23.800,Togo,120.mp4
121,0:01:23.800,0:01:25.600,W. Sahara,121.mp4
122,0:01:25.600,0:01:26.000,Niger,122.mp4
123,0:01:26.000,0:01:26.400,Nigeria,123.mp4
124,0:01:26.400,0:01:26.800,Chad,124.mp4
125,0:01:26.800,0:01:27.200,Liberia,125.mp4
126,0:01:27.200,0:01:27.600,Egypt,126.mp4
127,0:01:27.600,0:01:28.000,Benin,127.mp4
128,0:01:28.000,0:01:28.500,Gabon,128.mp4
129,0:01:28.500,0:01:29.000,Tanzania,129.mp4
130,0:01:29.000,0:01:29.500,Somalia,130.mp4
131,0:01:29.500,0:01:29.800,Kenya,131.mp4
132,0:01:29.800,0:01:30.200,Mali,132.mp4
133,0:01:30.200,0:01:31.000,Sierra Leone,133.mp4
134,0:01:31.000,0:01:31.800,Algiers,134.mp4
135,0:01:31.800,0:01:32.200,Dahomey,135.mp4
136,0:01:32.200,0:01:32.700,Namibia,136.mp4
137,0:01:32.700,0:01:33.200,Senegal,137.mp4
138,0:01:33.200,0:01:33.600,Libya,138.mp4
139,0:01:33.600,0:01:34.000,Cameroon,139.mp4
140,0:01:34.000,0:01:34.400,Congo,140.mp4
141,0:01:34.400,0:01:35.000,Dem. Rep. Congo,141.mp4
142,0:01:35.000,0:01:35.500,Ethiopia,142.mp4
143,0:01:35.500,0:01:36.000,Guinea-Bissau,143.mp4
144,0:01:36.000,0:01:36.400,Madagascar,144.mp4
145,0:01:36.400,0:01:36.800,Rwanda,145.mp4
146,0:01:36.800,0:01:37.200,Mayotte,146.mp4
147,0:01:37.200,0:01:38.000,Cayman Is.,147.mp4
148,0:01:38.000,0:01:38.400,Hong Kong,148.mp4
149,0:01:38.400,0:01:38.800,United Arab Emirates,149.mp4
150,0:01:38.800,0:01:39.200,Qatar,150.mp4
151,0:01:39.200,0:01:40.100,Yugoslavia,151.mp4
152,0:01:40.100,0:01:40.500,Crete,152.mp4
153,0:01:40.500,0:01:41.200,Mauritania,153.mp4
154,0:01:41.200,0:01:41.800,Transylvania,154.mp4
155,0:01:41.800,0:01:42.200,Monaco,155.mp4
156,0:01:42.200,0:01:42.600,Liechtenstein,156.mp4
157,0:01:42.600,0:01:43.000,Malta,157.mp4
158,0:01:43.000,0:01:43.400,West Bank,158.mp4
159,0:01:43.400,0:01:43.800,Fiji,159.mp4
160,0:01:43.800,0:01:44.200,Australia,160.mp4
161,0:01:44.200,0:01:45.700,Sudan,161.mp4
